"","Sex","Age","U","Value"
"1","Male",0,"u1",-918.907400106319
"2","Male",1,"u1",-1067.75774969864
"3","Male",2,"u1",-1106.99764893373
"4","Male",3,"u1",-1130.48283305987
"5","Male",4,"u1",-1145.46715648874
"6","Male",5,"u1",-1156.21591712264
"7","Male",6,"u1",-1165.30418408691
"8","Male",7,"u1",-1171.97258060745
"9","Male",8,"u1",-1179.20131298605
"10","Male",9,"u1",-1185.6344561106
"11","Male",10,"u1",-1187.85385792706
"12","Male",11,"u1",-1188.71903142731
"13","Male",12,"u1",-1185.35395559578
"14","Male",13,"u1",-1179.36783402358
"15","Male",14,"u1",-1166.757981999
"16","Male",15,"u1",-1153.069063585
"17","Male",16,"u1",-1135.08805286443
"18","Male",17,"u1",-1119.9944058051
"19","Male",18,"u1",-1104.97662873448
"20","Male",19,"u1",-1098.94440835557
"21","Male",20,"u1",-1094.97402333563
"22","Male",21,"u1",-1092.67706855719
"23","Male",22,"u1",-1091.18860332979
"24","Male",23,"u1",-1090.64323424211
"25","Male",24,"u1",-1091.05006072092
"26","Male",25,"u1",-1090.80533108948
"27","Male",26,"u1",-1091.11963158886
"28","Male",27,"u1",-1089.91126440326
"29","Male",28,"u1",-1088.83582260729
"30","Male",29,"u1",-1087.56704718938
"31","Male",30,"u1",-1086.16088900128
"32","Male",31,"u1",-1084.20801993426
"33","Male",32,"u1",-1081.09388021361
"34","Male",33,"u1",-1078.4357978363
"35","Male",34,"u1",-1075.31708529054
"36","Male",35,"u1",-1071.97215239732
"37","Male",36,"u1",-1068.50878619628
"38","Male",37,"u1",-1065.56025739165
"39","Male",38,"u1",-1060.07719149221
"40","Male",39,"u1",-1055.87590342606
"41","Male",40,"u1",-1050.69627160007
"42","Male",41,"u1",-1047.15641430668
"43","Male",42,"u1",-1040.77716118396
"44","Male",43,"u1",-1036.22231765252
"45","Male",44,"u1",-1031.37116744908
"46","Male",45,"u1",-1025.17995305643
"47","Male",46,"u1",-1020.74331818011
"48","Male",47,"u1",-1015.32901663434
"49","Male",48,"u1",-1009.80493715485
"50","Male",49,"u1",-1004.18859368604
"51","Male",50,"u1",-997.777653704704
"52","Male",51,"u1",-994.09710289336
"53","Male",52,"u1",-986.903490745146
"54","Male",53,"u1",-982.049441095676
"55","Male",54,"u1",-976.097212430832
"56","Male",55,"u1",-970.896290853086
"57","Male",56,"u1",-965.387386008556
"58","Male",57,"u1",-960.176928028347
"59","Male",58,"u1",-953.978909646482
"60","Male",59,"u1",-948.379379810207
"61","Male",60,"u1",-941.200059679301
"62","Male",61,"u1",-937.591798974571
"63","Male",62,"u1",-930.198505545069
"64","Male",63,"u1",-924.572541800277
"65","Male",64,"u1",-918.573471086791
"66","Male",65,"u1",-912.362419539543
"67","Male",66,"u1",-907.914574794291
"68","Male",67,"u1",-901.749100441964
"69","Male",68,"u1",-895.487712379234
"70","Male",69,"u1",-889.83417708084
"71","Male",70,"u1",-882.486581555701
"72","Male",71,"u1",-878.42422122974
"73","Male",72,"u1",-870.293626170369
"74","Male",73,"u1",-864.214496243756
"75","Male",74,"u1",-857.626694008375
"76","Male",75,"u1",-851.231612995778
"77","Male",76,"u1",-845.156606803391
"78","Male",77,"u1",-839.724954324522
"79","Male",78,"u1",-832.180195902094
"80","Male",79,"u1",-826.211813072931
"81","Male",80,"u1",-818.898209561123
"82","Male",81,"u1",-814.112678339647
"83","Male",82,"u1",-806.105990215774
"84","Male",83,"u1",-799.711084492038
"85","Male",84,"u1",-792.47683465455
"86","Male",85,"u1",-786.782191856047
"87","Male",86,"u1",-780.179766203195
"88","Male",87,"u1",-774.153697120882
"89","Male",88,"u1",-768.109007079825
"90","Male",89,"u1",-762.318754349019
"91","Male",90,"u1",-755.640319514287
"92","Male",91,"u1",-751.111136550476
"93","Male",92,"u1",-744.570986847025
"94","Male",93,"u1",-739.12329812524
"95","Male",94,"u1",-733.67047606215
"96","Male",95,"u1",-727.775823382742
"97","Male",96,"u1",-722.53691207798
"98","Male",97,"u1",-717.448947103134
"99","Male",98,"u1",-712.518841046734
"100","Male",99,"u1",-707.753005399564
"101","Male",100,"u1",-703.157225155646
"102","Male",101,"u1",-698.736499828187
"103","Male",102,"u1",-694.495183045549
"104","Male",103,"u1",-690.436551195937
"105","Male",104,"u1",-686.562931259187
"106","Male",105,"u1",-682.875751360811
"107","Male",106,"u1",-679.375194557095
"108","Male",107,"u1",-676.060480984505
"109","Male",108,"u1",-672.929826429021
"110","Male",109,"u1",-669.980457503572
"111","Male",0,"u2",-46.7624195942051
"112","Male",1,"u2",-80.3257730361228
"113","Male",2,"u2",-74.1620062573329
"114","Male",3,"u2",-72.8595352227119
"115","Male",4,"u2",-65.7728011900701
"116","Male",5,"u2",-61.8634003228755
"117","Male",6,"u2",-61.3480466015787
"118","Male",7,"u2",-57.2462454992272
"119","Male",8,"u2",-53.1809695777669
"120","Male",9,"u2",-51.1761186511255
"121","Male",10,"u2",-48.5161273344497
"122","Male",11,"u2",-44.6748231163546
"123","Male",12,"u2",-40.4969505179873
"124","Male",13,"u2",-38.0723952458417
"125","Male",14,"u2",-30.0829898314198
"126","Male",15,"u2",-25.8437645259251
"127","Male",16,"u2",-17.3202348896244
"128","Male",17,"u2",-12.5822713442776
"129","Male",18,"u2",-6.05952376913464
"130","Male",19,"u2",-7.94555756032997
"131","Male",20,"u2",-10.1667487054892
"132","Male",21,"u2",-11.0302516400847
"133","Male",22,"u2",-12.0459749980579
"134","Male",23,"u2",-12.264012875882
"135","Male",24,"u2",-12.5872120345449
"136","Male",25,"u2",-11.7894803105507
"137","Male",26,"u2",-11.366074181023
"138","Male",27,"u2",-8.96150756624623
"139","Male",28,"u2",-8.40024309435741
"140","Male",29,"u2",-7.36439650953083
"141","Male",30,"u2",-9.74052171745396
"142","Male",31,"u2",-5.37564345012755
"143","Male",32,"u2",-6.37937197920328
"144","Male",33,"u2",-4.9612033651105
"145","Male",34,"u2",-3.97800315489332
"146","Male",35,"u2",-4.59893937654606
"147","Male",36,"u2",-2.62459719299878
"148","Male",37,"u2",-3.09301146259405
"149","Male",38,"u2",-0.509169406809399
"150","Male",39,"u2",0.893858654016728
"151","Male",40,"u2",0.451435419947969
"152","Male",41,"u2",3.78971735004817
"153","Male",42,"u2",4.13494305096362
"154","Male",43,"u2",6.42012197960223
"155","Male",44,"u2",7.15338875334598
"156","Male",45,"u2",8.51558584798337
"157","Male",46,"u2",10.1452735039894
"158","Male",47,"u2",11.6215068621522
"159","Male",48,"u2",11.8261077930865
"160","Male",49,"u2",13.3832427812814
"161","Male",50,"u2",13.437250413101
"162","Male",51,"u2",15.2586906489146
"163","Male",52,"u2",15.7408976019576
"164","Male",53,"u2",16.2902807777176
"165","Male",54,"u2",17.5359146687397
"166","Male",55,"u2",18.6833441462798
"167","Male",56,"u2",19.2765011005738
"168","Male",57,"u2",20.3448588727509
"169","Male",58,"u2",20.2750962654656
"170","Male",59,"u2",20.6548496893945
"171","Male",60,"u2",20.0484062859657
"172","Male",61,"u2",20.898099108477
"173","Male",62,"u2",20.4866353739184
"174","Male",63,"u2",20.5268521966605
"175","Male",64,"u2",20.6563286842199
"176","Male",65,"u2",20.6182448714642
"177","Male",66,"u2",21.1385531432254
"178","Male",67,"u2",21.1837263332326
"179","Male",68,"u2",21.1108858797201
"180","Male",69,"u2",21.2041062470764
"181","Male",70,"u2",19.8375639401793
"182","Male",71,"u2",21.0879995431387
"183","Male",72,"u2",20.0264030182946
"184","Male",73,"u2",20.1261501779568
"185","Male",74,"u2",19.8512254131858
"186","Male",75,"u2",19.767943443409
"187","Male",76,"u2",20.0494158931753
"188","Male",77,"u2",20.2782272337109
"189","Male",78,"u2",19.9360250189099
"190","Male",79,"u2",20.2437947163299
"191","Male",80,"u2",20.2343990526597
"192","Male",81,"u2",21.4449218008984
"193","Male",82,"u2",20.6705966025262
"194","Male",83,"u2",20.880805413947
"195","Male",84,"u2",20.5593300986676
"196","Male",85,"u2",21.455172385378
"197","Male",86,"u2",21.9352251820232
"198","Male",87,"u2",22.6184392244472
"199","Male",88,"u2",22.9259234466038
"200","Male",89,"u2",23.7992274372465
"201","Male",90,"u2",23.7026330104381
"202","Male",91,"u2",25.4643957001229
"203","Male",92,"u2",25.658108886041
"204","Male",93,"u2",26.4103718800567
"205","Male",94,"u2",26.7770436736404
"206","Male",95,"u2",26.0672732763155
"207","Male",96,"u2",26.4846841769236
"208","Male",97,"u2",26.8972094530449
"209","Male",98,"u2",27.3028461674791
"210","Male",99,"u2",27.6994826921572
"211","Male",100,"u2",28.085048745523
"212","Male",101,"u2",28.4573529741278
"213","Male",102,"u2",28.8143241038635
"214","Male",103,"u2",29.1540432108105
"215","Male",104,"u2",29.4746809398875
"216","Male",105,"u2",29.7747553488253
"217","Male",106,"u2",30.0529322823779
"218","Male",107,"u2",30.3083198844936
"219","Male",108,"u2",30.5401634625878
"220","Male",109,"u2",30.7482294898734
"221","Male",0,"u3",6.09382540459483
"222","Male",1,"u3",4.90145612111646
"223","Male",2,"u3",6.31178374235682
"224","Male",3,"u3",13.7751418957367
"225","Male",4,"u3",12.2121576467985
"226","Male",5,"u3",11.9153646894472
"227","Male",6,"u3",13.9591885023439
"228","Male",7,"u3",14.1451756478555
"229","Male",8,"u3",13.9614801756566
"230","Male",9,"u3",17.1608694965864
"231","Male",10,"u3",13.2815885748118
"232","Male",11,"u3",14.143094954282
"233","Male",12,"u3",12.0386340505238
"234","Male",13,"u3",10.7083894328207
"235","Male",14,"u3",4.83872805389493
"236","Male",15,"u3",3.7426115404618
"237","Male",16,"u3",0.040359906866456
"238","Male",17,"u3",-3.04049844875609
"239","Male",18,"u3",-6.07533124755968
"240","Male",19,"u3",-8.19755609485031
"241","Male",20,"u3",-8.09463500610382
"242","Male",21,"u3",-10.2506036675439
"243","Male",22,"u3",-11.1102608032859
"244","Male",23,"u3",-12.2728809958667
"245","Male",24,"u3",-12.2096702468107
"246","Male",25,"u3",-13.357345437574
"247","Male",26,"u3",-13.5098915976642
"248","Male",27,"u3",-14.3814888400286
"249","Male",28,"u3",-15.0941675339482
"250","Male",29,"u3",-14.4111758755919
"251","Male",30,"u3",-13.9530989464435
"252","Male",31,"u3",-14.8422394311399
"253","Male",32,"u3",-14.1367198628056
"254","Male",33,"u3",-14.4721162959316
"255","Male",34,"u3",-14.890262236546
"256","Male",35,"u3",-14.1414831497394
"257","Male",36,"u3",-13.4216425193251
"258","Male",37,"u3",-12.879395354611
"259","Male",38,"u3",-13.1689338244804
"260","Male",39,"u3",-12.1851889301792
"261","Male",40,"u3",-12.4535173539757
"262","Male",41,"u3",-11.6405514178362
"263","Male",42,"u3",-10.9448995026743
"264","Male",43,"u3",-10.8327943570923
"265","Male",44,"u3",-9.99835352660036
"266","Male",45,"u3",-9.46078025850378
"267","Male",46,"u3",-8.91641013170717
"268","Male",47,"u3",-8.48598546364219
"269","Male",48,"u3",-7.9027083013663
"270","Male",49,"u3",-7.26851852320605
"271","Male",50,"u3",-6.98384448546738
"272","Male",51,"u3",-6.07886498193916
"273","Male",52,"u3",-5.85141071456496
"274","Male",53,"u3",-4.90439501727287
"275","Male",54,"u3",-4.56765616355174
"276","Male",55,"u3",-4.26317172937658
"277","Male",56,"u3",-3.28964280839822
"278","Male",57,"u3",-2.72465907792275
"279","Male",58,"u3",-2.29161706738976
"280","Male",59,"u3",-2.08059548951132
"281","Male",60,"u3",-2.61837381052281
"282","Male",61,"u3",-1.50901562350435
"283","Male",62,"u3",-1.41611635737585
"284","Male",63,"u3",-0.729046833533943
"285","Male",64,"u3",-0.633476607281643
"286","Male",65,"u3",-0.2099518178066
"287","Male",66,"u3",0.405437662697408
"288","Male",67,"u3",0.797346363998349
"289","Male",68,"u3",1.10796765287997
"290","Male",69,"u3",1.83311345729795
"291","Male",70,"u3",1.60584000276114
"292","Male",71,"u3",3.29400113928068
"293","Male",72,"u3",2.62351147970447
"294","Male",73,"u3",2.87718716981283
"295","Male",74,"u3",3.0513748519469
"296","Male",75,"u3",3.03863010038793
"297","Male",76,"u3",3.92208403384613
"298","Male",77,"u3",5.16737931928084
"299","Male",78,"u3",4.29264150803429
"300","Male",79,"u3",4.63338663051744
"301","Male",80,"u3",3.96311855677
"302","Male",81,"u3",4.43779935052284
"303","Male",82,"u3",4.99162946880806
"304","Male",83,"u3",5.50921019322671
"305","Male",84,"u3",6.0760709228399
"306","Male",85,"u3",6.46918475237579
"307","Male",86,"u3",7.25700968169762
"308","Male",87,"u3",7.73683311422034
"309","Male",88,"u3",8.11358934499872
"310","Male",89,"u3",8.66221636666116
"311","Male",90,"u3",8.75163521631515
"312","Male",91,"u3",9.63684605377252
"313","Male",92,"u3",10.0711375720989
"314","Male",93,"u3",10.5792569559443
"315","Male",94,"u3",11.0323249298644
"316","Male",95,"u3",11.1045300083629
"317","Male",96,"u3",11.4464496175615
"318","Male",97,"u3",11.7642349663982
"319","Male",98,"u3",12.0570353571983
"320","Male",99,"u3",12.3241986641399
"321","Male",100,"u3",12.5652180717476
"322","Male",101,"u3",12.7798602995488
"323","Male",102,"u3",12.9680263069242
"324","Male",103,"u3",13.1299632170629
"325","Male",104,"u3",13.266024044152
"326","Male",105,"u3",13.3768319127876
"327","Male",106,"u3",13.463231904322
"328","Male",107,"u3",13.5263189385479
"329","Male",108,"u3",13.5671856145171
"330","Male",109,"u3",13.58726447237
"331","Male",0,"u4",5.18733324280528
"332","Male",1,"u4",-0.390018864056086
"333","Male",2,"u4",-0.63697735369187
"334","Male",3,"u4",4.63352108032714
"335","Male",4,"u4",1.92003134935659
"336","Male",5,"u4",3.08537639622394
"337","Male",6,"u4",5.56822821092684
"338","Male",7,"u4",5.78240786489663
"339","Male",8,"u4",8.64218005906669
"340","Male",9,"u4",4.86268900955302
"341","Male",10,"u4",2.09220046338213
"342","Male",11,"u4",1.74808862973702
"343","Male",12,"u4",0.879875058800962
"344","Male",13,"u4",1.5155442454289
"345","Male",14,"u4",-3.06559877549516
"346","Male",15,"u4",-4.22124816648826
"347","Male",16,"u4",-6.86547095503692
"348","Male",17,"u4",-6.58507414618997
"349","Male",18,"u4",-11.0828163305311
"350","Male",19,"u4",-11.6095344913817
"351","Male",20,"u4",-12.5805876364938
"352","Male",21,"u4",-14.6984159794324
"353","Male",22,"u4",-12.0262298315803
"354","Male",23,"u4",-12.5060433006966
"355","Male",24,"u4",-11.7495791049734
"356","Male",25,"u4",-10.8425820340238
"357","Male",26,"u4",-11.7184102164635
"358","Male",27,"u4",-10.3653311109949
"359","Male",28,"u4",-8.63594189812783
"360","Male",29,"u4",-8.2374364539463
"361","Male",30,"u4",-7.35083696766464
"362","Male",31,"u4",-7.04131782164083
"363","Male",32,"u4",-4.73570648714625
"364","Male",33,"u4",-3.9743585327619
"365","Male",34,"u4",-2.77773288999923
"366","Male",35,"u4",-1.19572161093928
"367","Male",36,"u4",-1.11924076311256
"368","Male",37,"u4",-1.85095820271237
"369","Male",38,"u4",0.712200435428087
"370","Male",39,"u4",1.07321186445569
"371","Male",40,"u4",3.473456938919
"372","Male",41,"u4",2.53702720624839
"373","Male",42,"u4",4.04037705326382
"374","Male",43,"u4",4.10301241835631
"375","Male",44,"u4",4.58491382298785
"376","Male",45,"u4",5.31365797066034
"377","Male",46,"u4",5.72830682136285
"378","Male",47,"u4",6.33191751763929
"379","Male",48,"u4",6.89351540174277
"380","Male",49,"u4",6.99980133106242
"381","Male",50,"u4",7.70120508652708
"382","Male",51,"u4",7.06822891390099
"383","Male",52,"u4",7.90164842805501
"384","Male",53,"u4",7.79446937437114
"385","Male",54,"u4",8.10584885784019
"386","Male",55,"u4",7.86404107469543
"387","Male",56,"u4",8.29267298150827
"388","Male",57,"u4",8.13005740217316
"389","Male",58,"u4",8.94645478775636
"390","Male",59,"u4",8.39019361602046
"391","Male",60,"u4",9.33783209803623
"392","Male",61,"u4",7.95872020151655
"393","Male",62,"u4",8.81896812286042
"394","Male",63,"u4",8.59181786005077
"395","Male",64,"u4",8.61736594036744
"396","Male",65,"u4",8.84682992396108
"397","Male",66,"u4",7.35344699789906
"398","Male",67,"u4",7.66487155095165
"399","Male",68,"u4",7.56391496856735
"400","Male",69,"u4",6.68261797977199
"401","Male",70,"u4",7.30038169003135
"402","Male",71,"u4",5.4201349037964
"403","Male",72,"u4",6.54307835966559
"404","Male",73,"u4",6.13009095800885
"405","Male",74,"u4",6.20330154405374
"406","Male",75,"u4",6.08607031041603
"407","Male",76,"u4",5.58775569834477
"408","Male",77,"u4",3.90187770484035
"409","Male",78,"u4",4.9351003138778
"410","Male",79,"u4",3.72121781953616
"411","Male",80,"u4",4.06071265288337
"412","Male",81,"u4",2.57327752109901
"413","Male",82,"u4",2.47731227994659
"414","Male",83,"u4",1.67960480377012
"415","Male",84,"u4",1.4770254802502
"416","Male",85,"u4",0.504246978808328
"417","Male",86,"u4",-0.0399269950564463
"418","Male",87,"u4",-0.92383746205381
"419","Male",88,"u4",-1.56593204168101
"420","Male",89,"u4",-2.58269558679548
"421","Male",90,"u4",-2.73976319425081
"422","Male",91,"u4",-4.28333689884014
"423","Male",92,"u4",-4.39120258384805
"424","Male",93,"u4",-5.02819500199442
"425","Male",94,"u4",-5.39099171395696
"426","Male",95,"u4",-6.08144924908085
"427","Male",96,"u4",-6.59489977964048
"428","Male",97,"u4",-7.07833031924599
"429","Male",98,"u4",-7.53030264418293
"430","Male",99,"u4",-7.94967610276595
"431","Male",100,"u4",-8.33543142212851
"432","Male",101,"u4",-8.68690170921011
"433","Male",102,"u4",-9.00368973264691
"434","Male",103,"u4",-9.28569620076319
"435","Male",104,"u4",-9.53310127425945
"436","Male",105,"u4",-9.74639380595055
"437","Male",106,"u4",-9.92634484971697
"438","Male",107,"u4",-10.0740778132523
"439","Male",108,"u4",-10.1909569005989
"440","Male",109,"u4",-10.2785411687791
"441","Female",0,"u1",-934.812169814549
"442","Female",1,"u1",-1078.10030146342
"443","Female",2,"u1",-1121.21604099113
"444","Female",3,"u1",-1145.29162967114
"445","Female",4,"u1",-1160.68564239365
"446","Female",5,"u1",-1173.28625528207
"447","Female",6,"u1",-1182.5177546328
"448","Female",7,"u1",-1193.76698924149
"449","Female",8,"u1",-1201.25816504773
"450","Female",9,"u1",-1206.9182923186
"451","Female",10,"u1",-1209.42334517618
"452","Female",11,"u1",-1210.30326211738
